,domain,problem,time,plan_length,plan_found
0,blocksworld,0_01,0.020904,10.0,True
1,blocksworld,0_02,0.003319,8.0,True
2,blocksworld,0_03,0.022504,34.0,True
3,blocksworld,0_04,0.022255,38.0,True
4,blocksworld,0_05,0.023636,40.0,True
5,blocksworld,0_06,0.027158,80.0,True
6,blocksworld,0_07,0.010079,62.0,True
7,blocksworld,0_08,0.027525,58.0,True
8,blocksworld,0_09,0.030361,56.0,True
9,blocksworld,0_10,0.032619,44.0,True
10,blocksworld,0_11,0.038173,102.0,True
11,blocksworld,0_12,0.019679,72.0,True
12,blocksworld,0_13,0.020097,108.0,True
13,blocksworld,0_14,0.036566,66.0,True
14,blocksworld,0_15,0.049085,106.0,True
15,blocksworld,0_16,0.033156,122.0,True
16,blocksworld,0_17,0.063771,130.0,True
17,blocksworld,0_18,0.05859,84.0,True
18,blocksworld,0_19,0.053881,86.0,True
19,blocksworld,0_20,0.057078,78.0,True
20,blocksworld,0_21,0.051148,76.0,True
21,blocksworld,0_22,0.086102,146.0,True
22,blocksworld,0_23,0.062457,94.0,True
23,blocksworld,0_24,0.429214,202.0,True
24,blocksworld,0_25,0.193517,274.0,True
25,blocksworld,0_26,0.117211,230.0,True
26,blocksworld,0_27,0.082055,130.0,True
27,blocksworld,0_28,0.111392,152.0,True
28,blocksworld,0_29,0.107635,142.0,True
29,blocksworld,0_30,0.183777,202.0,True
30,blocksworld,1_01,0.414144,324.0,True
31,blocksworld,1_02,0.301988,222.0,True
32,blocksworld,1_03,0.395707,242.0,True
33,blocksworld,1_04,,,False
34,blocksworld,1_05,0.783875,320.0,True
35,blocksworld,1_06,0.757009,230.0,True
36,blocksworld,1_07,1.453887,376.0,True
37,blocksworld,1_08,,,False
38,blocksworld,1_09,2.572644,474.0,True
39,blocksworld,1_10,9.240847,396.0,True
40,blocksworld,1_11,18.9781,646.0,True
41,blocksworld,1_12,7.302954,632.0,True
42,blocksworld,1_13,7.367036,614.0,True
43,blocksworld,1_14,7.262375,528.0,True
44,blocksworld,1_15,14.715134,648.0,True
45,blocksworld,1_16,20.051778,640.0,True
46,blocksworld,1_17,12.694747,640.0,True
47,blocksworld,1_18,19.237044,656.0,True
48,blocksworld,1_19,,,False
49,blocksworld,1_20,42.676292,950.0,True
50,blocksworld,1_21,75.504255,908.0,True
51,blocksworld,1_22,25.749875,746.0,True
52,blocksworld,1_23,,,False
53,blocksworld,1_24,51.950618,796.0,True
54,blocksworld,1_25,45.584259,816.0,True
55,blocksworld,1_26,,,False
56,blocksworld,1_27,121.725514,988.0,True
57,blocksworld,1_28,153.589445,1070.0,True
58,blocksworld,1_29,190.22249,1072.0,True
59,blocksworld,1_30,,,False
60,ferry,0_01,0.01938,8.0,True
61,ferry,0_02,0.003386,9.0,True
62,ferry,0_03,0.003559,14.0,True
63,ferry,0_04,0.006468,14.0,True
64,ferry,0_05,0.013955,20.0,True
65,ferry,0_06,0.004216,20.0,True
66,ferry,0_07,0.005173,23.0,True
67,ferry,0_08,0.007982,26.0,True
68,ferry,0_09,0.005118,27.0,True
69,ferry,0_10,0.022315,33.0,True
70,ferry,0_11,0.006274,37.0,True
71,ferry,0_12,0.02386,38.0,True
72,ferry,0_13,0.007482,36.0,True
73,ferry,0_14,0.021013,40.0,True
74,ferry,0_15,0.013118,47.0,True
75,ferry,0_16,0.010903,49.0,True
