,domain,layer,dim,problem,repeat,plan_length,plan_found,time
0,blocksworld,1,1,0_01,0,10.0,True,0.36011624336242676
1,blocksworld,1,1,0_01,1,10.0,True,0.42542481422424316
2,blocksworld,1,1,0_01,2,10.0,True,0.3099989891052246
3,blocksworld,1,1,0_02,0,8.0,True,0.3819856643676758
4,blocksworld,1,1,0_02,1,8.0,True,0.2773139476776123
5,blocksworld,1,1,0_02,2,8.0,True,0.36795663833618164
6,blocksworld,1,1,0_03,0,20.0,True,0.549346923828125
7,blocksworld,1,1,0_03,1,20.0,True,0.5447046756744385
8,blocksworld,1,1,0_03,2,20.0,True,0.49593257904052734
9,blocksworld,1,1,0_04,0,24.0,True,0.52195143699646
10,blocksworld,1,1,0_04,1,24.0,True,0.5434861183166504
11,blocksworld,1,1,0_04,2,24.0,True,0.5331389904022217
12,blocksworld,1,1,0_05,0,24.0,True,0.6181144714355469
13,blocksworld,1,1,0_05,1,24.0,True,0.6231236457824707
14,blocksworld,1,1,0_05,2,24.0,True,0.5986099243164062
15,blocksworld,1,1,0_06,0,30.0,True,0.576552152633667
16,blocksworld,1,1,0_06,1,28.0,True,0.6331808567047119
17,blocksworld,1,1,0_06,2,30.0,True,0.7539920806884766
18,blocksworld,1,1,0_07,0,32.0,True,0.7437963485717773
19,blocksworld,1,1,0_07,1,32.0,True,0.765404462814331
20,blocksworld,1,1,0_07,2,32.0,True,0.852449893951416
21,blocksworld,1,1,0_08,0,32.0,True,0.8559567928314209
22,blocksworld,1,1,0_08,1,32.0,True,0.6954162120819092
23,blocksworld,1,1,0_08,2,32.0,True,0.7608089447021484
24,blocksworld,1,1,0_09,0,36.0,True,0.9865853786468506
25,blocksworld,1,1,0_09,1,36.0,True,0.7805366516113281
26,blocksworld,1,1,0_09,2,36.0,True,1.002056360244751
27,blocksworld,1,1,0_10,0,38.0,True,0.8535094261169434
28,blocksworld,1,1,0_10,1,38.0,True,0.8978302478790283
29,blocksworld,1,1,0_10,2,38.0,True,0.9839622974395752
30,blocksworld,1,1,0_11,0,48.0,True,1.1895971298217773
31,blocksworld,1,1,0_11,1,48.0,True,1.0588371753692627
32,blocksworld,1,1,0_11,2,48.0,True,1.178905725479126
33,blocksworld,1,1,0_12,0,42.0,True,0.9284942150115967
34,blocksworld,1,1,0_12,1,44.0,True,0.9957518577575684
35,blocksworld,1,1,0_12,2,44.0,True,1.0731263160705566
36,blocksworld,1,1,0_13,0,48.0,True,1.2226760387420654
37,blocksworld,1,1,0_13,1,46.0,True,1.2283985614776611
38,blocksworld,1,1,0_13,2,44.0,True,1.1941983699798584
39,blocksworld,1,1,0_14,0,48.0,True,1.4333322048187256
40,blocksworld,1,1,0_14,1,46.0,True,1.1816058158874512
41,blocksworld,1,1,0_14,2,48.0,True,1.380913496017456
42,blocksworld,1,1,0_15,0,54.0,True,1.3003747463226318
43,blocksworld,1,1,0_15,1,54.0,True,1.2653803825378418
44,blocksworld,1,1,0_15,2,54.0,True,1.5155789852142334
45,blocksworld,1,1,0_16,0,60.0,True,1.46589994430542
46,blocksworld,1,1,0_16,1,60.0,True,1.40389084815979
47,blocksworld,1,1,0_16,2,58.0,True,1.8045272827148438
48,blocksworld,1,1,0_17,0,60.0,True,1.5735270977020264
49,blocksworld,1,1,0_17,1,60.0,True,1.6620080471038818
50,blocksworld,1,1,0_17,2,60.0,True,1.7498843669891357
51,blocksworld,1,1,0_18,0,56.0,True,1.6550266742706299
52,blocksworld,1,1,0_18,1,54.0,True,1.4401113986968994
53,blocksworld,1,1,0_18,2,54.0,True,1.504725456237793
54,blocksworld,1,1,0_19,0,60.0,True,1.6587884426116943
55,blocksworld,1,1,0_19,1,60.0,True,1.5705347061157227
56,blocksworld,1,1,0_19,2,60.0,True,1.442955493927002
57,blocksworld,1,1,0_20,0,56.0,True,1.6515462398529053
58,blocksworld,1,1,0_20,1,56.0,True,1.35676908493042
59,blocksworld,1,1,0_20,2,56.0,True,1.528193473815918
60,blocksworld,1,1,0_21,0,62.0,True,1.6074144840240479
61,blocksworld,1,1,0_21,1,62.0,True,1.4853734970092773
62,blocksworld,1,1,0_21,2,62.0,True,1.6962990760803223
63,blocksworld,1,1,0_22,0,78.0,True,2.3102238178253174
64,blocksworld,1,1,0_22,1,78.0,True,2.1175742149353027
65,blocksworld,1,1,0_22,2,78.0,True,2.1751327514648438
66,blocksworld,1,1,0_23,0,66.0,True,1.967416524887085
67,blocksworld,1,1,0_23,1,66.0,True,1.7646477222442627
68,blocksworld,1,1,0_23,2,66.0,True,1.7516257762908936
69,blocksworld,1,1,0_24,0,82.0,True,2.6292943954467773
70,blocksworld,1,1,0_24,1,84.0,True,2.41031813621521
71,blocksworld,1,1,0_24,2,84.0,True,2.4862937927246094
72,blocksworld,1,1,0_25,0,88.0,True,2.6950838565826416
73,blocksworld,1,1,0_25,1,90.0,True,2.7735400199890137
74,blocksworld,1,1,0_25,2,86.0,True,2.541015863418579
75,blocksworld,1,1,0_26,0,84.0,True,2.392301321029663
76,blocksworld,1,1,0_26,1,80.0,True,2.1536641120910645
77,blocksworld,1,1,0_26,2,84.0,True,2.3899452686309814
78,blocksworld,1,1,0_27,0,72.0,True,2.1377944946289062
79,blocksworld,1,1,0_27,1,72.0,True,2.1103591918945312
80,blocksworld,1,1,0_27,2,72.0,True,2.4330952167510986
81,blocksworld,1,1,0_28,0,90.0,True,2.781116485595703
82,blocksworld,1,1,0_28,1,90.0,True,2.643606185913086
83,blocksworld,1,1,0_28,2,90.0,True,2.6205766201019287
84,blocksworld,1,1,0_29,0,82.0,True,2.3836328983306885
85,blocksworld,1,1,0_29,1,78.0,True,2.2462592124938965
86,blocksworld,1,1,0_29,2,80.0,True,2.6104655265808105
87,blocksworld,1,1,0_30,0,96.0,True,3.046922445297241
88,blocksworld,1,1,0_30,1,98.0,True,2.963127613067627
89,blocksworld,1,1,0_30,2,98.0,True,3.502159595489502
90,blocksworld,1,1,1_01,0,116.0,True,4.205646276473999
91,blocksworld,1,1,1_01,1,118.0,True,3.9410886764526367
92,blocksworld,1,1,1_01,2,118.0,True,4.113835096359253
93,blocksworld,1,1,1_02,0,122.0,True,4.512810707092285
94,blocksworld,1,1,1_02,1,122.0,True,4.43849778175354
95,blocksworld,1,1,1_02,2,122.0,True,4.489923715591431
96,blocksworld,1,1,1_03,0,128.0,True,4.8533899784088135
97,blocksworld,1,1,1_03,1,134.0,True,4.647899389266968
98,blocksworld,1,1,1_03,2,126.0,True,4.581563711166382
99,blocksworld,1,1,1_04,0,164.0,True,7.663314342498779
100,blocksworld,1,1,1_04,1,162.0,True,6.92467474937439
101,blocksworld,1,1,1_04,2,166.0,True,6.608579397201538
102,blocksworld,1,1,1_05,0,168.0,True,6.806400299072266
103,blocksworld,1,1,1_05,1,162.0,True,6.742250680923462
104,blocksworld,1,1,1_05,2,164.0,True,6.655769348144531
105,blocksworld,1,1,1_06,0,164.0,True,6.946991205215454
106,blocksworld,1,1,1_06,1,166.0,True,6.949452638626099
