domain,problem,repeat,time,cycles,plan_length,plan_found,max_bound
blocksworld,0_01,0,0.7244358062744141,0,10.0,True,False
blocksworld,0_01,1,0.784480094909668,0,10.0,True,False
blocksworld,0_01,2,1.4032773971557617,0,10.0,True,False
blocksworld,0_01,3,1.4377379417419434,0,10.0,True,False
blocksworld,0_01,4,1.3622841835021973,0,10.0,True,False
blocksworld,0_01,5,1.3706879615783691,0,10.0,True,False
blocksworld,0_01,6,1.3942525386810303,0,10.0,True,False
blocksworld,0_01,7,1.4421324729919434,0,10.0,True,False
blocksworld,0_01,8,1.5267345905303955,0,10.0,True,False
blocksworld,0_01,9,1.373497724533081,0,10.0,True,False
blocksworld,0_02,0,0.8993222713470459,0,8.0,True,False
blocksworld,0_02,1,0.925682544708252,0,8.0,True,False
blocksworld,0_02,2,0.9393680095672607,0,8.0,True,False
blocksworld,0_02,3,0.9600887298583984,0,8.0,True,False
blocksworld,0_02,4,0.9493701457977295,0,8.0,True,False
blocksworld,0_02,5,0.981224775314331,0,8.0,True,False
blocksworld,0_02,6,0.9270920753479004,0,8.0,True,False
blocksworld,0_02,7,0.9885680675506592,0,8.0,True,False
blocksworld,0_02,8,0.911959171295166,0,8.0,True,False
blocksworld,0_02,9,0.9703829288482666,0,8.0,True,False
blocksworld,0_03,0,1.5346214771270752,0,20.0,True,False
blocksworld,0_03,1,1.4925284385681152,0,20.0,True,False
blocksworld,0_03,2,1.5197598934173584,0,20.0,True,False
blocksworld,0_03,3,1.4602634906768799,0,20.0,True,False
blocksworld,0_03,4,1.5152621269226074,0,20.0,True,False
blocksworld,0_03,5,1.508073091506958,0,20.0,True,False
blocksworld,0_03,6,1.4674296379089355,0,20.0,True,False
blocksworld,0_03,7,1.520019292831421,0,20.0,True,False
blocksworld,0_03,8,1.4666850566864014,0,20.0,True,False
blocksworld,0_03,9,1.5250985622406006,0,20.0,True,False
blocksworld,0_04,0,1.7926876544952393,0,24.0,True,False
blocksworld,0_04,1,1.6928343772888184,0,24.0,True,False
blocksworld,0_04,2,1.6481359004974365,0,24.0,True,False
blocksworld,0_04,3,1.7340660095214844,0,24.0,True,False
blocksworld,0_04,4,1.7618865966796875,0,24.0,True,False
blocksworld,0_04,5,1.660670280456543,0,24.0,True,False
blocksworld,0_04,6,1.7951674461364746,0,24.0,True,False
blocksworld,0_04,7,1.8451783657073975,0,24.0,True,False
blocksworld,0_04,8,1.8018760681152344,0,24.0,True,False
blocksworld,0_04,9,1.8152475357055664,0,24.0,True,False
blocksworld,0_05,0,2.1575393676757812,0,24.0,True,False
blocksworld,0_05,1,2.2177298069000244,0,24.0,True,False
blocksworld,0_05,2,2.283367395401001,0,24.0,True,False
blocksworld,0_05,3,2.4885919094085693,0,24.0,True,False
blocksworld,0_05,4,2.3918113708496094,0,24.0,True,False
blocksworld,0_05,5,2.18902587890625,0,24.0,True,False
blocksworld,0_05,6,2.193892240524292,0,24.0,True,False
blocksworld,0_05,7,2.2924764156341553,0,24.0,True,False
blocksworld,0_05,8,1.9377140998840332,0,24.0,True,False
blocksworld,0_05,9,1.5742135047912598,0,24.0,True,False
blocksworld,0_06,0,2.784616470336914,0,30.0,True,False
blocksworld,0_06,1,2.7718844413757324,0,30.0,True,False
blocksworld,0_06,2,2.772905111312866,0,30.0,True,False
blocksworld,0_06,3,2.7990400791168213,0,28.0,True,False
blocksworld,0_06,4,2.5977396965026855,0,28.0,True,False
blocksworld,0_06,5,2.7236781120300293,0,30.0,True,False
blocksworld,0_06,6,2.8439407348632812,0,30.0,True,False
blocksworld,0_06,7,2.77630877494812,0,30.0,True,False
blocksworld,0_06,8,2.950660228729248,0,30.0,True,False
blocksworld,0_06,9,2.503897190093994,0,26.0,True,False
blocksworld,0_07,0,2.2915451526641846,0,32.0,True,False
blocksworld,0_07,1,2.3770809173583984,0,32.0,True,False
blocksworld,0_07,2,2.3115234375,0,32.0,True,False
blocksworld,0_07,3,2.333540439605713,0,32.0,True,False
blocksworld,0_07,4,2.3213951587677,0,32.0,True,False
blocksworld,0_07,5,2.9837393760681152,0,32.0,True,False
blocksworld,0_07,6,2.8663930892944336,0,32.0,True,False
blocksworld,0_07,7,2.938445806503296,0,32.0,True,False
blocksworld,0_07,8,2.7871479988098145,0,32.0,True,False
blocksworld,0_07,9,2.906881332397461,0,32.0,True,False
blocksworld,0_08,0,2.17529034614563,0,32.0,True,False
blocksworld,0_08,1,2.0614821910858154,0,32.0,True,False
blocksworld,0_08,2,2.4751698970794678,0,32.0,True,False
blocksworld,0_08,3,1.975667953491211,0,32.0,True,False
blocksworld,0_08,4,2.4046740531921387,0,32.0,True,False
blocksworld,0_08,5,2.472097396850586,0,32.0,True,False
blocksworld,0_08,6,2.513904333114624,0,32.0,True,False
blocksworld,0_08,7,2.349552631378174,0,32.0,True,False
blocksworld,0_08,8,2.744661569595337,0,32.0,True,False
blocksworld,0_08,9,2.7442080974578857,0,32.0,True,False
blocksworld,0_09,0,2.644010543823242,0,36.0,True,False
blocksworld,0_09,1,2.741077184677124,0,36.0,True,False
blocksworld,0_09,2,2.5172104835510254,0,36.0,True,False
blocksworld,0_09,3,2.484393358230591,0,36.0,True,False
blocksworld,0_09,4,2.4558451175689697,0,36.0,True,False
blocksworld,0_09,5,2.4545986652374268,0,36.0,True,False
blocksworld,0_09,6,2.4477932453155518,0,36.0,True,False
blocksworld,0_09,7,2.5057826042175293,0,36.0,True,False
blocksworld,0_09,8,2.4174046516418457,0,36.0,True,False
blocksworld,0_09,9,2.3431782722473145,0,36.0,True,False
blocksworld,0_10,0,2.6576290130615234,0,38.0,True,False
blocksworld,0_10,1,2.629157543182373,0,38.0,True,False
blocksworld,0_10,2,2.7506232261657715,0,38.0,True,False
blocksworld,0_10,3,2.7219390869140625,0,38.0,True,False
blocksworld,0_10,4,2.6127121448516846,0,38.0,True,False
blocksworld,0_10,5,2.609299898147583,0,38.0,True,False
blocksworld,0_10,6,2.239154100418091,0,38.0,True,False
blocksworld,0_10,7,2.3122146129608154,0,38.0,True,False
blocksworld,0_10,8,2.6070454120635986,0,38.0,True,False
blocksworld,0_10,9,2.4666731357574463,0,38.0,True,False
blocksworld,0_11,0,3.0147485733032227,0,48.0,True,False
blocksworld,0_11,1,3.279413938522339,0,48.0,True,False
blocksworld,0_11,2,3.2815518379211426,0,48.0,True,False
blocksworld,0_11,3,3.399193525314331,0,48.0,True,False
blocksworld,0_11,4,3.5274698734283447,0,48.0,True,False
blocksworld,0_11,5,3.253154754638672,0,48.0,True,False
blocksworld,0_11,6,3.138772964477539,0,48.0,True,False
blocksworld,0_11,7,3.4613218307495117,0,48.0,True,False
blocksworld,0_11,8,3.3765530586242676,0,48.0,True,False
blocksworld,0_11,9,3.4883406162261963,0,48.0,True,False
blocksworld,0_12,0,3.090538740158081,0,46.0,True,False
blocksworld,0_12,1,3.3202481269836426,0,46.0,True,False
blocksworld,0_12,2,3.2318596839904785,0,44.0,True,False
blocksworld,0_12,3,3.325822353363037,0,42.0,True,False
blocksworld,0_12,4,3.031587600708008,0,44.0,True,False
blocksworld,0_12,5,3.1663472652435303,0,44.0,True,False
blocksworld,0_12,6,4.453892707824707,0,46.0,True,False
blocksworld,0_12,7,4.254068851470947,0,46.0,True,False
blocksworld,0_12,8,3.284999370574951,0,44.0,True,False
blocksworld,0_12,9,3.3349227905273438,0,44.0,True,False
blocksworld,0_13,0,3.5658230781555176,0,46.0,True,False
blocksworld,0_13,1,3.5835373401641846,0,46.0,True,False
blocksworld,0_13,2,4.695844650268555,0,48.0,True,False
blocksworld,0_13,3,4.990886926651001,0,48.0,True,False
blocksworld,0_13,4,4.520208835601807,0,48.0,True,False
blocksworld,0_13,5,4.789526700973511,0,48.0,True,False
