,domain,problem,time,plan_length,plan_found
0,blocksworld,0_01,0.021693,10.0,True
1,blocksworld,0_02,0.020017,8.0,True
2,blocksworld,0_03,0.004917,34.0,True
3,blocksworld,0_04,0.023082,38.0,True
4,blocksworld,0_05,0.018024,40.0,True
5,blocksworld,0_06,0.016928,80.0,True
6,blocksworld,0_07,0.026948,62.0,True
7,blocksworld,0_08,0.009653,58.0,True
8,blocksworld,0_09,0.030229,56.0,True
9,blocksworld,0_10,0.03292,44.0,True
10,blocksworld,0_11,0.021651,102.0,True
11,blocksworld,0_12,0.034333,72.0,True
12,blocksworld,0_13,0.021892,108.0,True
13,blocksworld,0_14,0.021795,66.0,True
14,blocksworld,0_15,0.034922,106.0,True
15,blocksworld,0_16,0.046661,122.0,True
16,blocksworld,0_17,0.045805,130.0,True
17,blocksworld,0_18,0.037327,84.0,True
18,blocksworld,0_19,0.04149,86.0,True
19,blocksworld,0_20,0.044287,78.0,True
20,blocksworld,0_21,0.048388,76.0,True
21,blocksworld,0_22,0.069678,146.0,True
22,blocksworld,0_23,0.062651,94.0,True
23,blocksworld,0_24,0.431445,202.0,True
24,blocksworld,0_25,0.199671,274.0,True
25,blocksworld,0_26,0.134321,230.0,True
26,blocksworld,0_27,0.099181,130.0,True
27,blocksworld,0_28,0.11074,152.0,True
28,blocksworld,0_29,0.12782,142.0,True
29,blocksworld,0_30,0.186228,202.0,True
30,blocksworld,1_01,0.430017,324.0,True
31,blocksworld,1_02,0.291626,222.0,True
32,blocksworld,1_03,0.386073,242.0,True
33,blocksworld,1_05,0.783382,320.0,True
34,blocksworld,1_06,0.761015,230.0,True
35,blocksworld,1_07,1.422323,376.0,True
36,blocksworld,1_09,2.464811,474.0,True
37,blocksworld,1_10,9.461836,396.0,True
38,blocksworld,1_11,19.043488,646.0,True
39,blocksworld,1_12,6.977559,632.0,True
40,blocksworld,1_13,7.755701,614.0,True
41,blocksworld,1_14,7.110031,528.0,True
42,blocksworld,1_15,17.375906,648.0,True
43,blocksworld,1_16,16.768704,640.0,True
44,blocksworld,1_17,10.477897,640.0,True
45,blocksworld,1_18,16.897835,656.0,True
46,blocksworld,1_20,43.371916,950.0,True
47,blocksworld,1_21,69.699438,908.0,True
48,blocksworld,1_22,20.481764,746.0,True
49,blocksworld,1_24,40.17316,796.0,True
50,blocksworld,1_25,37.018489,816.0,True
51,ferry,0_01,0.004832,8.0,True
52,ferry,0_02,0.008584,9.0,True
53,ferry,0_03,0.004391,14.0,True
54,ferry,0_04,0.010861,14.0,True
55,ferry,0_05,0.003926,20.0,True
56,ferry,0_06,0.006648,20.0,True
57,ferry,0_07,0.00438,23.0,True
58,ferry,0_08,0.004981,26.0,True
59,ferry,0_09,0.022067,27.0,True
60,ferry,0_10,0.022743,33.0,True
61,ferry,0_11,,,False
62,ferry,0_12,0.024447,38.0,True
63,ferry,0_13,0.007116,36.0,True
64,ferry,0_14,0.022127,40.0,True
65,ferry,0_15,0.025981,47.0,True
66,ferry,0_16,0.012783,49.0,True
67,ferry,0_17,0.027443,55.0,True
68,ferry,0_18,0.010445,49.0,True
69,ferry,0_19,0.012019,55.0,True
70,ferry,0_20,0.012224,57.0,True
71,ferry,0_21,0.031553,62.0,True
72,ferry,0_22,0.033409,61.0,True
73,ferry,0_23,0.017247,67.0,True
74,ferry,0_24,0.019466,74.0,True
75,ferry,0_25,0.037485,71.0,True
76,ferry,0_26,0.025885,73.0,True
77,ferry,0_27,0.024947,73.0,True
78,ferry,0_28,0.027762,80.0,True
79,ferry,0_29,0.028812,80.0,True
80,ferry,0_30,0.03188,84.0,True
81,ferry,1_01,0.015453,45.0,True
82,ferry,1_02,0.040398,55.0,True
83,ferry,1_03,0.036063,77.0,True
84,ferry,1_04,0.045486,84.0,True
85,ferry,1_05,0.076612,95.0,True
86,ferry,1_06,0.089056,112.0,True
87,ferry,1_07,0.112815,130.0,True
88,ferry,1_08,0.148256,138.0,True
89,ferry,1_09,0.173144,151.0,True
90,ferry,1_10,0.214349,160.0,True
91,ferry,1_11,0.282223,179.0,True
92,ferry,1_12,0.314586,191.0,True
93,ferry,1_13,0.371871,198.0,True
94,ferry,1_14,0.438752,214.0,True
95,ferry,1_15,0.512558,226.0,True
96,ferry,1_16,0.579956,234.0,True
97,ferry,1_17,0.632848,243.0,True
98,ferry,1_18,0.713135,254.0,True
99,ferry,1_19,0.955988,279.0,True
100,ferry,1_20,1.083627,282.0,True
101,ferry,1_21,1.140536,295.0,True
102,ferry,1_22,1.297493,314.0,True
103,ferry,1_23,1.493253,326.0,True
104,ferry,1_24,1.662665,341.0,True
105,ferry,1_25,1.924701,359.0,True
106,ferry,1_26,2.067906,377.0,True
107,ferry,1_27,2.156319,377.0,True
108,ferry,1_28,2.549766,383.0,True
109,ferry,1_29,2.715044,418.0,True
110,ferry,1_30,3.184202,423.0,True
111,satellite,0_01,0.019093,4.0,True
112,satellite,0_02,0.003995,8.0,True
113,satellite,0_03,0.003308,8.0,True
114,satellite,0_04,0.003243,5.0,True
115,satellite,0_05,0.003384,9.0,True
116,satellite,0_06,0.003884,15.0,True
117,satellite,0_07,0.003325,10.0,True
118,satellite,0_08,0.003386,10.0,True
119,satellite,0_09,0.02039,10.0,True
120,satellite,0_10,0.020683,8.0,True
121,satellite,0_11,0.005233,21.0,True
122,satellite,0_12,0.020827,12.0,True
123,satellite,0_13,0.004098,10.0,True
124,satellite,0_14,0.005346,18.0,True
125,satellite,0_15,0.004782,13.0,True
126,satellite,0_16,0.007058,22.0,True
127,satellite,0_17,0.0089,21.0,True
128,satellite,0_18,0.019652,14.0,True
129,satellite,0_19,0.007471,26.0,True
130,satellite,0_20,0.010488,37.0,True
131,satellite,0_21,0.012203,34.0,True
132,satellite,0_22,0.009189,30.0,True
133,satellite,0_23,0.007262,19.0,True
134,satellite,0_24,0.006053,12.0,True
135,satellite,0_25,0.012194,28.0,True
136,satellite,0_26,0.026101,52.0,True
137,satellite,0_27,0.01741,40.0,True
138,satellite,0_28,0.033673,36.0,True
139,satellite,0_29,0.008197,13.0,True
140,satellite,0_30,0.015598,33.0,True
141,satellite,1_01,0.060333,64.0,True
142,satellite,1_02,,,False
143,satellite,1_03,0.043886,59.0,True
144,satellite,1_04,0.053929,77.0,True
145,satellite,1_05,0.136195,74.0,True
146,satellite,1_06,0.100056,63.0,True
147,satellite,1_07,0.096535,67.0,True
148,satellite,1_08,0.028526,13.0,True
149,satellite,1_09,0.129553,76.0,True
150,satellite,1_10,0.046987,23.0,True
151,satellite,1_11,0.167894,116.0,True
152,satellite,1_12,0.188416,80.0,True
153,satellite,1_13,1.386568,115.0,True
154,satellite,1_14,0.247231,99.0,True
155,satellite,1_15,0.065136,22.0,True
156,satellite,1_16,0.245742,113.0,True
157,satellite,1_17,0.185209,58.0,True
158,satellite,1_18,0.113878,37.0,True
159,satellite,1_19,0.851871,132.0,True
160,satellite,1_20,0.941858,170.0,True
161,satellite,1_21,0.681902,142.0,True
162,satellite,1_22,0.538446,125.0,True
163,satellite,1_23,0.333098,52.0,True
164,satellite,1_24,0.555714,184.0,True
165,satellite,1_25,0.476621,74.0,True
166,satellite,1_26,1.075847,175.0,True
167,satellite,1_27,0.82807,197.0,True
168,satellite,1_28,0.217522,31.0,True
169,satellite,1_29,1.309279,209.0,True
170,satellite,1_30,0.545177,78.0,True
171,transport,0_01,0.019748,3.0,True
172,transport,0_02,0.016821,4.0,True
173,transport,0_03,0.003115,7.0,True
174,transport,0_04,,,False
175,transport,0_05,0.004701,13.0,True
176,transport,0_06,0.015293,13.0,True
177,transport,0_07,0.008302,18.0,True
178,transport,0_08,0.005041,16.0,True
179,transport,0_09,0.004543,24.0,True
180,transport,0_10,0.00508,26.0,True
181,transport,0_11,0.005575,27.0,True
182,transport,0_12,0.006243,29.0,True
183,transport,0_13,0.014246,39.0,True
184,transport,0_14,0.014562,38.0,True
185,transport,0_15,0.007897,34.0,True
186,transport,0_16,0.009925,40.0,True
187,transport,0_17,0.008331,35.0,True
188,transport,0_18,0.008639,39.0,True
189,transport,0_19,0.010348,55.0,True
190,transport,0_20,0.010409,53.0,True
191,transport,0_21,0.013058,46.0,True
192,transport,0_22,0.012942,45.0,True
193,transport,0_23,0.013689,51.0,True
194,transport,0_24,0.015593,64.0,True
195,transport,0_25,0.016868,60.0,True
196,transport,0_26,0.017744,59.0,True
197,transport,0_27,0.01973,85.0,True
198,transport,0_28,0.020953,60.0,True
199,transport,0_29,0.023934,63.0,True
200,transport,0_30,0.023845,62.0,True
201,transport,1_01,0.012329,37.0,True
202,transport,1_02,0.014874,34.0,True
203,transport,1_03,0.017762,34.0,True
204,transport,1_04,0.026688,40.0,True
205,transport,1_05,0.026965,54.0,True
206,transport,1_06,0.035754,48.0,True
207,transport,1_07,0.051402,56.0,True
208,transport,1_08,0.063113,69.0,True
209,transport,1_09,0.07132,120.0,True
210,transport,1_10,0.073867,71.0,True
211,transport,1_11,0.098735,70.0,True
212,transport,1_12,0.104012,81.0,True
213,transport,1_13,0.154448,114.0,True
214,transport,1_14,0.142268,95.0,True
215,transport,1_15,0.191083,111.0,True
216,transport,1_16,0.229369,188.0,True
217,transport,1_17,0.196279,149.0,True
218,transport,1_18,0.250636,125.0,True
219,transport,1_19,0.272853,117.0,True
220,transport,1_20,0.36729,150.0,True
221,transport,1_21,0.477375,189.0,True
222,transport,1_22,0.361382,177.0,True
223,transport,1_23,0.517214,171.0,True
224,transport,1_24,0.501736,162.0,True
225,transport,1_25,0.868719,286.0,True
226,transport,1_26,0.656851,170.0,True
227,transport,1_27,0.734976,179.0,True
228,transport,1_28,1.070488,254.0,True
229,transport,1_29,0.885035,175.0,True
230,transport,1_30,0.958077,192.0,True
