domain,layers,dimension,config,repeat,loss,f1,epoch,time
blocksworld,3,8,3_8,0,0.07301570449918858,0.9884297520661157,88, 493.87508487701416
blocksworld,3,8,3_8,1,0.08586619027314737,0.9867745159565814,97, 706.3105845451355
blocksworld,3,8,3_8,2,0.07544871635850967,0.9873777363763391,89, 489.3847568035126
blocksworld,3,16,3_16,0,0.16187255405774081,0.9739250085999313,43, 715.4554312229156
blocksworld,3,16,3_16,1,0.058814318463620965,0.9946143399053997,81, 701.7974317073822
blocksworld,3,16,3_16,2,0.07158613799481352,0.9887577552829221,82, 1190.7423920631409
ferry,3,8,3_8,0,0.0777689633752285,1.0,67, 219.93614149093628
ferry,3,8,3_8,1,0.07804355105625152,1.0,29, 216.35893321037292
ferry,3,8,3_8,2,0.07802275638504702,1.0,96, 155.82866287231445
ferry,3,16,3_16,0,0.07738448770286482,0.9971527178602243,95, 429.7363028526306
ferry,3,16,3_16,1,0.07417655745282505,1.0,93, 515.2040503025055
ferry,3,16,3_16,2,0.07803046599881451,1.0,59, 311.8678765296936
satellite,3,8,3_8,1,0.19546613598740703,0.9458552189881916,25, 897.9620935916901
satellite,3,16,3_16,2,0.3549129857094072,0.9070102035753858,66, 1912.2434272766113
rover,3,8,3_8,0,0.13237458253543594,0.9925617069466965,92, 1595.137635231018
rover,3,8,3_8,1,0.15589543939769857,0.9696786236819535,98, 1130.3743259906769
rover,3,8,3_8,2,0.15708074019693932,0.9738914004165186,78, 1040.3889808654785
rover,3,16,3_16,0,0.4423306888309078,0.9230991825218838,84, 4268.634036540985
rover,3,16,3_16,1,0.26003370338992043,0.9410179127153324,96, 4256.4997301101685
rover,3,16,3_16,2,0.6795422082519315,0.929069710717596,68, 2745.733003616333
